Rank,Name,Genre,ESRB_Rating,Publisher,Developer,VGChartz_Score,Critic_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,status,Vgchartzscore,img_url,serial,Platform,url
4.0,PlayerUnknown's Battlegrounds,Shooter,,PUBG Corporation,PUBG Corporation,,,36.6,,,,,2017.0,13th Nov 18,1.0,,/games/boxart/full_8052843AmericaFrontccc.jpg,3458498030,PC,http://www.vgchartz.com/game/215988/playerunknowns-battlegrounds/?region=All
906.0,PlayerUnknown's Battlegrounds,Shooter,T,Microsoft Studios,PUBG Corporation,,,,1.29,0.69,,0.2,2017.0,16th Jan 18,1.0,,/games/boxart/full_8126502AmericaFrontccc.jpg,4837463162,XOne,http://www.vgchartz.com/game/215989/playerunknowns-battlegrounds/?region=All
6315.0,PlayerUnknown's Battlegrounds,Shooter,T,Sony Interactive Entertainment,PUBG Corporation,,,,0.13,0.15,,0.05,2018.0,18th Nov 18,1.0,,/games/boxart/full_2004622AmericaFrontccc.jpg,4275517364,PS4,http://www.vgchartz.com/game/223059/playerunknowns-battlegrounds/?region=All
20.0,Grand Theft Auto V,Action,M,Rockstar Games,Rockstar North,,9.4,,6.37,9.85,0.99,3.12,2013.0,,1.0,,/games/boxart/full_6510540AmericaFrontccc.jpg,7612000280,PS3,http://www.vgchartz.com/game/65884/grand-theft-auto-v/?region=All
21.0,Grand Theft Auto V,Action,M,Rockstar Games,Rockstar North,,9.7,,6.06,9.71,0.6,3.02,2014.0,03rd Jan 18,1.0,,/games/boxart/full_5563178AmericaFrontccc.jpg,7107100479,PS4,http://www.vgchartz.com/game/83196/grand-theft-auto-v/?region=All
33.0,Grand Theft Auto V,Action,M,Rockstar Games,Rockstar North,,,,9.06,5.33,0.06,1.42,2013.0,,1.0,,/games/boxart/full_9218923AmericaFrontccc.jpg,9493671628,X360,http://www.vgchartz.com/game/65883/grand-theft-auto-v/?region=All
61.0,Grand Theft Auto V,Action,M,Rockstar Games,Rockstar North,,,12.6,,,,,2015.0,02nd Nov 18,1.0,,/games/boxart/full_9031276AmericaFrontccc.jpg,8635296110,PC,http://www.vgchartz.com/game/83197/grand-theft-auto-v/?region=All
108.0,Grand Theft Auto V,Action,M,Rockstar Games,Rockstar North,,9.0,,4.7,3.25,0.01,0.76,2014.0,11th Apr 18,1.0,,/games/boxart/full_8047513AmericaFrontccc.jpg,9665394320,XOne,http://www.vgchartz.com/game/73074/grand-theft-auto-v/?region=All
29.0,Pokemon X/Y,Role-Playing,E,Nintendo,Game Freak,,8.9,16.37,,,,,2013.0,06th Jan 18,1.0,,/games/boxart/full_9470074AmericaFrontccc.png,2574378926,3DS,http://www.vgchartz.com/game/71449/pokemon-xy/?region=All
32.0,Pokemon Sun/Moon,Role-Playing,E,Nintendo,Game Freak,,9.0,16.14,,,,,2016.0,03rd Aug 18,1.0,,/games/boxart/full_6532288JapanFrontccc.png,7833542650,3DS,http://www.vgchartz.com/game/91783/pokemon-sunmoon/?region=All
35.0,Call of Duty: Black Ops 3,Shooter,M,Activision,Treyarch,,,,6.18,6.05,0.41,2.44,2015.0,14th Jan 18,1.0,,/games/boxart/full_4990510AmericaFrontccc.jpg,7094594760,PS4,http://www.vgchartz.com/game/85359/call-of-duty-black-ops-3/?region=All
135.0,Call of Duty: Black Ops 3,Shooter,M,Activision,Treyarch,,,,4.63,2.04,0.02,0.68,2015.0,14th Jan 18,1.0,,/games/boxart/full_8414457AmericaFrontccc.jpg,6778399732,XOne,http://www.vgchartz.com/game/85358/call-of-duty-black-ops-3/?region=All
1003.0,Call of Duty: Black Ops 3,Shooter,M,Activision,Treyarch,,,,1.36,0.47,,0.19,2015.0,14th Jan 18,1.0,,/games/boxart/full_2985212AmericaFrontccc.jpg,8989336331,X360,http://www.vgchartz.com/game/85732/call-of-duty-black-ops-3/?region=All
1047.0,Call of Duty: Black Ops 3,Shooter,M,Activision,Treyarch,,,,0.65,0.92,0.07,0.3,2015.0,14th Jan 18,1.0,,/games/boxart/full_860837AmericaFrontccc.jpg,1166184329,PS3,http://www.vgchartz.com/game/85731/call-of-duty-black-ops-3/?region=All
6761.0,Call of Duty: Black Ops 3,Shooter,M,Activision,Treyarch,,,,,0.28,,0.02,2015.0,14th Jan 18,1.0,,/games/boxart/full_4672610PALFrontccc.jpg,2823106387,PC,http://www.vgchartz.com/game/85360/call-of-duty-black-ops-3/?region=All
36.0,Mario Kart 8 Deluxe,Racing,E,Nintendo,Nintendo EPD,,9.3,15.02,,,,,2017.0,19th Nov 18,1.0,,/games/boxart/full_895207AmericaFrontccc.png,8558699547,NS,http://www.vgchartz.com/game/153114/mario-kart-8-deluxe/?region=All
45.0,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,E,Nintendo,Game Freak,,,14.17,,,,,2014.0,03rd Aug 18,1.0,,/games/boxart/full_5184866AmericaFrontccc.png,3973074841,3DS,http://www.vgchartz.com/game/81906/pokemon-omega-rubypokemon-alpha-sapphire/?region=All
46.0,Red Dead Redemption 2,Action-Adventure,M,Rockstar Games,Rockstar Games,,9.8,,5.26,6.21,0.21,2.26,2018.0,02nd Nov 18,1.0,8.0,/games/boxart/full_4653215AmericaFrontccc.jpg,7100604118,PS4,http://www.vgchartz.com/game/140683/red-dead-redemption-2/?region=All
189.0,Red Dead Redemption 2,Action-Adventure,M,Rockstar Games,Rockstar Games,,,,3.76,1.47,,0.54,2018.0,02nd Nov 18,1.0,,/games/boxart/full_1425733AmericaFrontccc.jpg,9697943943,XOne,http://www.vgchartz.com/game/140684/red-dead-redemption-2/?region=All
49.0,Super Mario Odyssey,Platform,E10,Nintendo,Nintendo EPD,,9.9,13.76,,,,,2017.0,19th Nov 18,1.0,,/games/boxart/full_1659701AmericaFrontccc.jpg,7789741108,NS,http://www.vgchartz.com/game/152831/super-mario-odyssey/?region=All
51.0,Call of Duty: WWII,Shooter,M,Activision,Sledgehammer Games,,8.0,,4.67,6.21,0.4,2.12,2017.0,31st Dec 17,1.0,,/games/boxart/full_4380292AmericaFrontccc.jpg,7859839028,PS4,http://www.vgchartz.com/game/170599/call-of-duty-wwii/?region=All
173.0,Call of Duty: WWII,Shooter,M,Activision,Sledgehammer Games,,,,3.75,1.91,,0.57,2017.0,30th Dec 17,1.0,,/games/boxart/full_9289123AmericaFrontccc.jpg,6065600552,XOne,http://www.vgchartz.com/game/170598/call-of-duty-wwii/?region=All
9037.0,Call of Duty: WWII,Shooter,M,Activision,Sledgehammer Games,,,,0.07,0.11,,0.01,2017.0,30th Dec 17,1.0,,/games/boxart/full_9718912AmericaFrontccc.jpg,4658358877,PC,http://www.vgchartz.com/game/170600/call-of-duty-wwii/?region=All
57.0,Minecraft,Misc,E10,Microsoft Studios,Mojang,,,13.0,,,,,2013.0,05th Aug 18,1.0,,/games/boxart/full_7845034AmericaFrontccc.jpg,4366904068,X360,http://www.vgchartz.com/game/51765/minecraft/?region=All
167.0,Minecraft,Misc,E10,Sony Computer Entertainment,Mojang,,9.4,,1.89,3.13,0.35,0.96,2014.0,14th Sep 18,1.0,,/games/boxart/full_6776646AmericaFrontccc.jpg,5436082784,PS4,http://www.vgchartz.com/game/75586/minecraft/?region=All
176.0,Minecraft,Misc,E10,Sony Computer Entertainment America,Mojang,,,,2.21,2.86,,0.99,2014.0,05th Aug 18,1.0,,/games/boxart/full_6168598AmericaFrontccc.jpg,7536950787,PS3,http://www.vgchartz.com/game/75585/minecraft/?region=All
212.0,Minecraft,Misc,E10,Microsoft Studios,Mojang,,,,3.23,1.71,,0.49,2014.0,14th Sep 18,1.0,,/games/boxart/full_739755AmericaFrontccc.jpg,9799750171,XOne,http://www.vgchartz.com/game/73065/minecraft/?region=All
751.0,Minecraft,Misc,E10,Sony Computer Entertainment America,4J Studios,,,,0.22,0.73,1.25,0.27,2014.0,05th Aug 18,1.0,,/games/boxart/full_4134710PALFrontccc.jpg,5697548165,PSV,http://www.vgchartz.com/game/75584/minecraft/?region=All
1089.0,Minecraft,Sandbox,E10,Mojang,4J Studios,,9.2,,0.69,0.56,0.52,0.12,2018.0,26th Jan 19,1.0,,/games/boxart/full_8777882AmericaFrontccc.jpg,2885240944,NS,http://www.vgchartz.com/game/168268/minecraft/?region=All
1529.0,Minecraft,Misc,E10,Mojang,4J Studios,,5.5,,0.5,0.49,0.38,0.09,2016.0,05th Aug 18,1.0,,/games/boxart/full_3850570AmericaFrontccc.png,5862442162,WiiU,http://www.vgchartz.com/game/108803/minecraft/?region=All
5800.0,Minecraft,Misc,E10,Nintendo,Other Ocean Interactive,,6.7,,0.33,,,0.04,2017.0,05th Aug 18,1.0,,/games/boxart/full_8437591AmericaFrontccc.jpeg,8518649303,3DS,http://www.vgchartz.com/game/216017/minecraft/?region=All
63.0,Animal Crossing: New Leaf,Simulation,E,Nintendo,Nintendo EAD,,8.6,12.1,,,,,2013.0,02nd Jan 18,1.0,,/games/boxart/full_7774244AmericaFrontccc.jpg,7088483298,3DS,http://www.vgchartz.com/game/71137/animal-crossing-new-leaf/?region=All
64.0,Super Smash Bros. Ultimate,Fighting,E10,Nintendo,Bandai Namco Games,,9.4,12.08,,,,,2018.0,18th Oct 18,1.0,9.0,/games/boxart/full_8423750AmericaFrontccc.jpg,5697047308,NS,http://www.vgchartz.com/game/221289/super-smash-bros-ultimate/?region=All
69.0,FIFA 18,Sports,E,EA Sports,EA Vancouver,,8.3,,1.27,8.64,0.15,1.73,2017.0,02nd Apr 18,1.0,,/games/boxart/full_5257064AmericaFrontccc.jpg,3832645158,PS4,http://www.vgchartz.com/game/180525/fifa-18/?region=All
526.0,FIFA 18,Sports,E,EA Sports,EA Vancouver,,8.0,,0.98,1.92,,0.23,2017.0,02nd Apr 18,1.0,,/games/boxart/full_6019647AmericaFrontccc.jpg,2351616066,XOne,http://www.vgchartz.com/game/180524/fifa-18/?region=All
2166.0,FIFA 18,Sports,E,EA Sports,EA Vancouver,,5.8,,0.35,0.55,0.13,0.07,2017.0,02nd Apr 18,1.0,,/games/boxart/full_3285439AmericaFrontccc.jpg,7057460999,NS,http://www.vgchartz.com/game/180527/fifa-18/?region=All
4271.0,FIFA 18,Sports,E,EA Sports,EA Vancouver,,,,0.06,0.4,0.01,0.08,2017.0,02nd Apr 18,1.0,,/games/boxart/full_7897429AmericaFrontccc.jpg,2051724482,PS3,http://www.vgchartz.com/game/180523/fifa-18/?region=All
7395.0,FIFA 18,Sports,E,EA Sports,EA Vancouver,,,,0.05,0.19,,0.02,2017.0,02nd Apr 18,1.0,,/games/boxart/full_8115483PALFrontccc.jpg,4941188170,X360,http://www.vgchartz.com/game/180522/fifa-18/?region=All
13104.0,FIFA 18,Sports,E,EA Sports,EA Vancouver,,8.0,,,0.08,,0.0,2017.0,02nd Apr 18,1.0,,/games/boxart/full_1920942AmericaFrontccc.jpg,8349380843,PC,http://www.vgchartz.com/game/180526/fifa-18/?region=All
72.0,The Legend of Zelda: Breath of the Wild,Action-Adventure,E10,Nintendo,Nintendo EPD,,9.9,11.68,,,,,2017.0,19th Nov 18,1.0,,/games/boxart/full_4436858AmericaFrontccc.png,8356894245,NS,http://www.vgchartz.com/game/118753/the-legend-of-zelda-breath-of-the-wild/?region=All
1341.0,The Legend of Zelda: Breath of the Wild,Action-Adventure,E10,Nintendo,Nintendo EPD,,10.0,1.61,,,,,2017.0,19th Nov 18,1.0,,/games/boxart/full_1041494AmericaFrontccc.jpg,1829833417,WiiU,http://www.vgchartz.com/game/84704/the-legend-of-zelda-breath-of-the-wild/?region=All
77.0,FIFA 17,Sports,E,Electronic Arts,EA Canada,,8.9,,1.26,7.95,0.12,1.61,2016.0,28th Mar 18,1.0,,/games/boxart/full_7661370AmericaFrontccc.jpg,4013529870,PS4,http://www.vgchartz.com/game/117272/fifa-17/?region=All
408.0,FIFA 17,Sports,E,Electronic Arts,EA Canada,,8.8,,1.04,2.4,,0.27,2016.0,28th Mar 18,1.0,,/games/boxart/full_9060196AmericaFrontccc.jpg,2826691830,XOne,http://www.vgchartz.com/game/117271/fifa-17/?region=All
1684.0,FIFA 17,Sports,E,Electronic Arts,EA Canada,,,,0.14,0.98,0.04,0.2,2016.0,28th Mar 18,1.0,,/games/boxart/full_9625007AmericaFrontccc.jpg,2450112184,PS3,http://www.vgchartz.com/game/117270/fifa-17/?region=All
2908.0,FIFA 17,Sports,E,Electronic Arts,EA Canada,,,,0.2,0.56,,0.06,2016.0,28th Mar 18,1.0,,/games/boxart/full_5570879AmericaFrontccc.jpg,4888740202,X360,http://www.vgchartz.com/game/117269/fifa-17/?region=All
9014.0,FIFA 17,Sports,E,Electronic Arts,EA Canada,,,,,0.18,,0.01,2016.0,28th Mar 18,1.0,,/games/boxart/full_6678540PALFrontccc.jpg,6288712071,PC,http://www.vgchartz.com/game/131413/fifa-17/?region=All
82.0,Call of Duty: Ghosts,Shooter,M,Activision,Infinity Ward,,6.9,,6.76,2.64,0.04,0.98,2013.0,21st Mar 18,1.0,,/games/boxart/full_8522439AmericaFrontccc.jpg,4566528869,X360,http://www.vgchartz.com/game/71508/call-of-duty-ghosts/?region=All
84.0,Call of Duty: Ghosts,Shooter,M,Activision,Infinity Ward,,7.5,,4.11,4.01,0.39,1.62,2013.0,21st Mar 18,1.0,,/games/boxart/full_3698558AmericaFrontccc.jpg,1298024980,PS3,http://www.vgchartz.com/game/71507/call-of-duty-ghosts/?region=All
344.0,Call of Duty: Ghosts,Shooter,M,Activision,Infinity Ward,,7.5,,1.79,1.64,0.05,0.69,2013.0,21st Mar 18,1.0,,/games/boxart/full_9732403AmericaFrontccc.jpg,1896806289,PS4,http://www.vgchartz.com/game/72126/call-of-duty-ghosts/?region=All
545.0,Call of Duty: Ghosts,Shooter,M,Activision,Infinity Ward,,7.5,,1.92,0.86,,0.28,2013.0,21st Mar 18,1.0,,/games/boxart/full_3011020AmericaFrontccc.jpg,5602906388,XOne,http://www.vgchartz.com/game/72087/call-of-duty-ghosts/?region=All
3471.0,Call of Duty: Ghosts,Shooter,M,Activision,Infinity Ward,,8.8,,0.26,0.36,,0.05,2013.0,21st Mar 18,1.0,,/games/boxart/full_6147403AmericaFrontccc.jpg,5286446759,PC,http://www.vgchartz.com/game/71506/call-of-duty-ghosts/?region=All
6029.0,Call of Duty: Ghosts,Shooter,M,Activision,Infinity Ward,,8.8,,0.22,0.09,0.01,0.03,2013.0,21st Mar 18,1.0,,/games/boxart/full_5971418AmericaFrontccc.jpg,5152889049,WiiU,http://www.vgchartz.com/game/71505/call-of-duty-ghosts/?region=All
85.0,Horizon: Zero Dawn,Action,T,Sony Interactive Entertainment,Guerrilla Games,,9.1,10.0,,,,,2017.0,15th Jan 18,1.0,,/games/boxart/full_719511AmericaFrontccc.jpg,5702630339,PS4,http://www.vgchartz.com/game/85674/horizon-zero-dawn/?region=All
86.0,"Pokemon: Let's Go, Pikachu/Eevee",Role-Playing,E,Nintendo,Game Freak,,,10.0,,,,,2018.0,31st Jan 19,1.0,,/games/boxart/full_2669309AmericaFrontccc.jpg,1297069473,NS,http://www.vgchartz.com/game/223377/pokemon-lets-go-pikachueevee/?region=All
94.0,Super Smash Bros. for 3DS,Fighting,E10,Nintendo,Bandai Namco Games,,8.4,9.45,,,,,2014.0,11th Apr 18,1.0,,/games/boxart/full_4463374AmericaFrontccc.jpg,7724395656,3DS,http://www.vgchartz.com/game/73239/super-smash-bros-for-3ds/?region=All
98.0,Call of Duty: Black Ops IIII,Shooter,M,Activision,Treyarch,,,,4.05,3.28,0.5,1.49,2018.0,07th Nov 18,1.0,,/games/boxart/full_6532460AmericaFrontccc.jpg,8922709972,PS4,http://www.vgchartz.com/game/221291/call-of-duty-black-ops-iiii/?region=All
272.0,Call of Duty: Black Ops IIII,Shooter,M,Activision,Treyarch,,,,3.27,1.12,,0.46,2018.0,07th Nov 18,1.0,,/games/boxart/full_1714505AmericaFrontccc.jpg,1560484765,XOne,http://www.vgchartz.com/game/221290/call-of-duty-black-ops-iiii/?region=All
11026.0,Call of Duty: Black Ops IIII,Shooter,M,Activision,Treyarch,,,,0.05,0.07,,0.01,2018.0,07th Nov 18,1.0,,/games/boxart/full_2440510AmericaFrontccc.jpg,7555729821,PC,http://www.vgchartz.com/game/221292/call-of-duty-black-ops-iiii/?region=All
101.0,FIFA 19,Sports,E,Electronic Arts,EA Sports,,,,0.84,6.87,0.1,1.34,2018.0,12th Sep 18,1.0,,/games/boxart/full_5970958AmericaFrontccc.jpg,2218077719,PS4,http://www.vgchartz.com/game/222165/fifa-19/?region=All
871.0,FIFA 19,Sports,E,Electronic Arts,EA Sports,,,,0.56,1.5,,0.16,2018.0,12th Sep 18,1.0,,/games/boxart/full_4884699AmericaFrontccc.jpg,7554333758,XOne,http://www.vgchartz.com/game/222163/fifa-19/?region=All
3177.0,FIFA 19,Sports,E,Electronic Arts,EA Sports,,5.9,,0.18,0.47,0.06,0.05,2018.0,12th Sep 18,1.0,,/games/boxart/full_7629243AmericaFrontccc.jpg,6998114416,NS,http://www.vgchartz.com/game/222167/fifa-19/?region=All
14262.0,FIFA 19,Sports,,Electronic Arts,EA Sports,,,,,0.06,,0.0,2018.0,12th Sep 18,1.0,,/games/boxart/full_3344242PALFrontccc.jpg,6979795285,X360,http://www.vgchartz.com/game/222164/fifa-19/?region=All
16154.0,FIFA 19,Sports,,Electronic Arts,EA Sports,,,,,0.03,,0.01,2018.0,12th Sep 18,1.0,,/games/boxart/full_3860565PALFrontccc.jpg,8914326872,PS3,http://www.vgchartz.com/game/222166/fifa-19/?region=All
53642.0,FIFA 19,Sports,E,Electronic Arts,EA Sports,,,,,,,,2018.0,12th Sep 18,1.0,,/games/boxart/full_274255AmericaFrontccc.jpg,6250978504,PC,http://www.vgchartz.com/game/222766/fifa-19/?region=All
102.0,Rust,Action-Adventure,,Facepunch Studios,Facepunch Studios,,6.1,9.15,,,,,2018.0,19th Mar 18,1.0,,/games/boxart/full_9200722AmericaFrontccc.jpg,7974943996,PC,http://www.vgchartz.com/game/76807/rust/?region=All
43426.0,Rust,Action-Adventure,RP,Facepunch Studios,Facepunch Studios,,,,,,,,2018.0,19th Mar 18,1.0,,/games/boxart/full_2646519AmericaFrontccc.jpg,5861731386,OSX,http://www.vgchartz.com/game/76806/rust/?region=All
54799.0,Rust,Action-Adventure,RP,Facepunch Studios,Facepunch Studios,,,,,,,,2018.0,19th Mar 18,1.0,,/games/boxart/full_580597AmericaFrontccc.jpg,8767284915,Linux,http://www.vgchartz.com/game/221395/rust/?region=All
103.0,Marvel's Spider-Man,Action-Adventure,T,Sony Interactive Entertainment,Insomniac Games,,9.1,9.0,,,,,2018.0,26th Sep 18,1.0,8.0,/games/boxart/full_7960565AmericaFrontccc.jpg,8302708830,PS4,http://www.vgchartz.com/game/120133/marvels-spider-man/?region=All
109.0,Uncharted 4: A Thief's End,Action,T,Sony Interactive Entertainment,Naughty Dog,,9.2,8.7,,,,,2016.0,23rd Sep 18,1.0,,/games/boxart/full_2804791AmericaFrontccc.jpg,8284701633,PS4,http://www.vgchartz.com/game/77189/uncharted-4-a-thiefs-end/?region=All
113.0,Call of Duty: Infinite Warfare,Shooter,M,Activision,Infinity Ward,,,,3.11,3.83,0.19,1.36,2016.0,14th Jan 18,1.0,,/games/boxart/full_5706058AmericaFrontccc.jpg,9255665198,PS4,http://www.vgchartz.com/game/108777/call-of-duty-infinite-warfare/?region=All
276.0,Call of Duty: Infinite Warfare,Shooter,M,Activision,Infinity Ward,,,,2.91,1.44,,0.44,2016.0,24th Mar 18,1.0,,/games/boxart/full_8795174AmericaFrontccc.jpg,7769994679,XOne,http://www.vgchartz.com/game/108778/call-of-duty-infinite-warfare/?region=All
6248.0,Call of Duty: Infinite Warfare,Shooter,M,Activision,Infinity Ward,,,,0.12,0.19,,0.03,2016.0,14th Jan 18,1.0,,/games/boxart/full_6847132AmericaFrontccc.jpg,6859510980,PC,http://www.vgchartz.com/game/108779/call-of-duty-infinite-warfare/?region=All
114.0,Fallout 4,Role-Playing,M,Bethesda Softworks,Bethesda Game Studios,,8.6,,2.91,3.97,0.27,1.34,2015.0,24th Mar 18,1.0,,/games/boxart/full_2507140AmericaFrontccc.jpg,4356574922,PS4,http://www.vgchartz.com/game/85599/fallout-4/?region=All
251.0,Fallout 4,Role-Playing,M,Bethesda Softworks,Bethesda Game Studios,,8.4,,2.94,1.62,0.02,0.45,2015.0,24th Mar 18,1.0,,/games/boxart/full_4876777AmericaFrontccc.jpg,6893077315,XOne,http://www.vgchartz.com/game/85598/fallout-4/?region=All
1626.0,Fallout 4,Role-Playing,M,Bethesda Softworks,Bethesda Game Studios,,9.0,,0.57,0.72,,0.11,2015.0,24th Mar 18,1.0,,/games/boxart/full_4171406AmericaFrontccc.jpg,8530609915,PC,http://www.vgchartz.com/game/85600/fallout-4/?region=All
115.0,Mario Kart 8,Racing,E,Nintendo,Nintendo,,8.8,8.42,,,,,2014.0,01st Feb 18,1.0,,/games/boxart/full_638065AmericaFrontccc.jpg,7117965880,WiiU,http://www.vgchartz.com/game/71408/mario-kart-8/?region=All
117.0,Pokemon: Ultra Sun and Ultra Moon,Role-Playing,E,Nintendo,Game Freak,,8.1,8.28,,,,,2017.0,03rd Aug 18,1.0,,/games/boxart/full_9155401AmericaFrontccc.png,1849072204,3DS,http://www.vgchartz.com/game/181292/pokemon-ultra-sun-and-ultra-moon/?region=All
118.0,Splatoon 2,Shooter,E10,Nintendo,Nintendo EPD,,8.2,8.27,,,,,2017.0,19th Nov 18,1.0,,/games/boxart/full_7536933AmericaFrontccc.png,8626170856,NS,http://www.vgchartz.com/game/153120/splatoon-2/?region=All
119.0,FIFA 16,Sports,E,EA Sports,EA Canada,,8.5,,1.15,5.77,0.07,1.23,2015.0,01st Apr 18,1.0,,/games/boxart/full_862315AmericaFrontccc.jpg,5003155329,PS4,http://www.vgchartz.com/game/85616/fifa-16/?region=All
506.0,FIFA 16,Sports,E,EA Sports,EA Canada,,8.5,,0.92,2.1,,0.24,2015.0,01st Apr 18,1.0,,/games/boxart/full_8789149AmericaFrontccc.jpg,2891661995,XOne,http://www.vgchartz.com/game/85614/fifa-16/?region=All
718.0,FIFA 16,Sports,E,EA Sports,EA Canada,,9.0,,0.43,1.68,0.05,0.38,2015.0,01st Apr 18,1.0,,/games/boxart/full_5792466AmericaFrontccc.jpg,4632488712,PS3,http://www.vgchartz.com/game/85615/fifa-16/?region=All
1377.0,FIFA 16,Sports,E,EA Sports,EA Canada,,9.0,,0.59,0.88,,0.12,2015.0,01st Apr 18,1.0,,/games/boxart/full_9036856AmericaFrontccc.jpg,8072938346,X360,http://www.vgchartz.com/game/85613/fifa-16/?region=All
8532.0,FIFA 16,Sports,E,EA Sports,EA Canada,,8.5,,0.07,0.13,,0.02,2015.0,01st Apr 18,1.0,,/games/boxart/full_2582165AmericaFrontccc.jpg,7279083036,PC,http://www.vgchartz.com/game/85617/fifa-16/?region=All
121.0,Star Wars Battlefront (2015),Shooter,T,Electronic Arts,EA DICE,,7.1,,3.31,3.19,0.23,1.3,2015.0,24th Mar 18,1.0,,/games/boxart/full_4873252AmericaFrontccc.jpg,6427641496,PS4,http://www.vgchartz.com/game/83364/star-wars-battlefront-2015/?region=All
349.0,Star Wars Battlefront (2015),Shooter,T,Electronic Arts,EA DICE,,6.9,,2.49,1.26,0.02,0.38,2015.0,24th Mar 18,1.0,,/games/boxart/full_8451662AmericaFrontccc.jpg,9772205927,XOne,http://www.vgchartz.com/game/83363/star-wars-battlefront-2015/?region=All
4641.0,Star Wars Battlefront (2015),Shooter,T,Electronic Arts,EA DICE,,7.5,,0.13,0.33,,0.04,2015.0,24th Mar 18,1.0,,/games/boxart/full_7024992PALFrontccc.jpg,7370086550,PC,http://www.vgchartz.com/game/83365/star-wars-battlefront-2015/?region=All
130.0,Call of Duty: Advanced Warfare,Shooter,M,Activision,Sledgehammer Games,,8.5,,2.84,3.34,0.14,1.22,2014.0,04th Jan 18,1.0,,/games/boxart/full_514368AmericaFrontccc.jpg,7706561390,PS4,http://www.vgchartz.com/game/81797/call-of-duty-advanced-warfare/?region=All
230.0,Call of Duty: Advanced Warfare,Shooter,M,Activision,Sledgehammer Games,,8.3,,3.25,1.49,0.01,0.48,2014.0,01st Jan 18,1.0,,/games/boxart/full_6401955AmericaFrontccc.jpg,5997674397,XOne,http://www.vgchartz.com/game/81798/call-of-duty-advanced-warfare/?region=All
323.0,Call of Duty: Advanced Warfare,Shooter,M,Activision,High Moon Studios,,9.1,,2.81,1.13,0.0,0.41,2014.0,04th Jan 18,1.0,,/games/boxart/full_4034633AmericaFrontccc.jpg,8375796621,X360,http://www.vgchartz.com/game/81794/call-of-duty-advanced-warfare/?region=All
331.0,Call of Duty: Advanced Warfare,Shooter,M,Activision,High Moon Studios,,9.1,,1.59,1.81,0.2,0.67,2014.0,04th Jan 18,1.0,,/games/boxart/full_4650769AmericaFrontccc.jpg,3809257750,PS3,http://www.vgchartz.com/game/81795/call-of-duty-advanced-warfare/?region=All
5321.0,Call of Duty: Advanced Warfare,Shooter,M,Activision,Sledgehammer Games,,8.6,,0.17,0.22,,0.03,2014.0,04th Jan 18,1.0,,/games/boxart/full_7106923AmericaFrontccc.jpg,3655140141,PC,http://www.vgchartz.com/game/81796/call-of-duty-advanced-warfare/?region=All
138.0,Battlefield 1,Shooter,M,Electronic Arts,EA DICE,,,,2.2,3.65,0.29,1.12,2016.0,24th Mar 18,1.0,,/games/boxart/full_9032449AmericaFrontccc.png,8078877081,PS4,http://www.vgchartz.com/game/110843/battlefield-1/?region=All
239.0,Battlefield 1,Shooter,M,Electronic Arts,EA DICE,,,,3.37,1.26,0.02,0.48,2016.0,24th Mar 18,1.0,,/games/boxart/full_601699AmericaFrontccc.png,4778149624,XOne,http://www.vgchartz.com/game/110844/battlefield-1/?region=All
3097.0,Battlefield 1,Shooter,,Electronic Arts,EA DICE,,,,0.3,0.41,,0.06,2016.0,,1.0,,/games/boxart/full_9475087AmericaFrontccc.png,7941261311,PC,http://www.vgchartz.com/game/110845/battlefield-1/?region=All
144.0,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Role-Playing,E10,Nintendo,Level 5,,,7.03,,,,,2016.0,26th Jan 19,1.0,,/games/boxart/full_8088410AmericaFrontccc.png,8343373562,3DS,http://www.vgchartz.com/game/81068/yokai-watch-2-bony-spirits-fleshy-souls-psychic-specters/?region=All
155.0,FIFA 14,Sports,E,EA Sports,EA Canada,,,,0.79,4.77,0.07,0.98,2013.0,15th Sep 18,1.0,,/games/boxart/full_6002851AmericaFrontccc.jpeg,8829464936,PS3,http://www.vgchartz.com/game/72084/fifa-14/?region=All
350.0,FIFA 14,Sports,E,EA Sports,EA Canada,,,,0.94,2.92,0.01,0.29,2013.0,15th Sep 18,1.0,,/games/boxart/full_6590731AmericaFrontccc.jpg,6977437652,X360,http://www.vgchartz.com/game/72085/fifa-14/?region=All
468.0,FIFA 14,Sports,E,EA Sports,EA Canada,,,,0.62,2.18,0.12,0.51,2013.0,15th Sep 18,1.0,,/games/boxart/full_5130076AmericaFrontccc.jpg,5656208556,PS4,http://www.vgchartz.com/game/73754/fifa-14/?region=All
1750.0,FIFA 14,Sports,E,EA Sports,EA Canada,,,,0.44,0.78,,0.1,2013.0,15th Sep 18,1.0,,/games/boxart/full_5849917AmericaFrontccc.jpg,5005987200,XOne,http://www.vgchartz.com/game/72224/fifa-14/?region=All
4530.0,FIFA 14,Sports,E,EA Sports,EA Canada,,,,0.08,0.3,0.01,0.11,2013.0,15th Sep 18,1.0,,/games/boxart/full_127898PALFrontccc.jpg,7078710647,PSV,http://www.vgchartz.com/game/74750/fifa-14/?region=All
