Rank,Name,Genre,ESRB_Rating,Publisher,Developer,VGChartz_Score,Critic_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,status,Vgchartzscore,img_url,serial,Platform,url
760.0,Madden NFL 17,Sports,E,EA Sports,EA Tiburon,,8.1,,2.14,0.04,,0.26,2016.0,01st Apr 18,1.0,,/games/boxart/full_7744633AmericaFrontccc.jpg,1660118150,XOne,http://www.vgchartz.com/game/86432/madden-nfl-17/?region=All
4827.0,Madden NFL 17,Sports,E,EA Sports,EA Tiburon,,,,0.37,0.05,,0.05,2016.0,01st Apr 18,1.0,,/games/boxart/full_6318040AmericaFrontccc.jpg,5582012829,X360,http://www.vgchartz.com/game/86433/madden-nfl-17/?region=All
7715.0,Madden NFL 17,Sports,E,EA Sports,EA Tiburon,,,,0.15,0.05,,0.04,2016.0,01st Apr 18,1.0,,/games/boxart/full_2110021AmericaFrontccc.jpg,8705459613,PS3,http://www.vgchartz.com/game/86435/madden-nfl-17/?region=All
516.0,Middle-Earth: Shadow of Mordor,Action,M,Warner Bros. Interactive Entertainment,Monolith Productions,,,,1.03,1.6,0.05,0.51,2014.0,04th May 18,1.0,,/games/boxart/full_720495AmericaFrontccc.jpg,1501708014,PS4,http://www.vgchartz.com/game/77129/middle-earth-shadow-of-mordor/?region=All
1587.0,Middle-Earth: Shadow of Mordor,Action,M,Warner Bros. Interactive Entertainment,Monolith Productions,,,,0.77,0.52,0.01,0.12,2014.0,04th May 18,1.0,,/games/boxart/full_388041AmericaFrontccc.jpg,5479826234,XOne,http://www.vgchartz.com/game/77127/middle-earth-shadow-of-mordor/?region=All
3964.0,Middle-Earth: Shadow of Mordor,Action,M,Warner Bros. Interactive Entertainment,Monolith Productions,,,,0.22,0.26,0.01,0.09,2014.0,04th May 18,1.0,,/games/boxart/full_3297804AmericaFrontccc.jpg,9236361127,PS3,http://www.vgchartz.com/game/77130/middle-earth-shadow-of-mordor/?region=All
4657.0,Middle-Earth: Shadow of Mordor,Misc,,Warner Bros. Interactive Entertainment,Unknown,,,,0.28,0.16,,0.04,2014.0,,1.0,,/games/boxart/full_8149687AmericaFrontccc.jpg,1915719774,X360,http://www.vgchartz.com/game/77128/middle-earth-shadow-of-mordor/?region=All
5820.0,Middle-Earth: Shadow of Mordor,Action,M,Warner Bros. Interactive Entertainment,Monolith Productions,,,,0.14,0.2,,0.03,2014.0,04th May 18,1.0,,/games/boxart/full_4219697PALFrontccc.jpg,9394945113,PC,http://www.vgchartz.com/game/77131/middle-earth-shadow-of-mordor/?region=All
520.0,Assassin's Creed Odyssey,Action-Adventure,M,Ubisoft,Ubisoft Quebec,,9.5,,1.18,1.4,0.09,0.51,2018.0,17th Nov 18,1.0,,/games/boxart/full_1336415AmericaFrontccc.jpg,4317400470,PS4,http://www.vgchartz.com/game/222151/assassins-creed-odyssey/?region=All
1640.0,Assassin's Creed Odyssey,Action-Adventure,M,Ubisoft,Ubisoft Quebec,,,,0.91,0.35,,0.13,2018.0,17th Nov 18,1.0,,/games/boxart/full_4256270AmericaFrontccc.jpg,2014326732,XOne,http://www.vgchartz.com/game/222150/assassins-creed-odyssey/?region=All
14559.0,Assassin's Creed Odyssey,Action-Adventure,,Ubisoft,Ubisoft Quebec,,,,,0.06,,0.0,2018.0,13th Jun 18,1.0,,/games/boxart/full_3593304AmericaFrontccc.png,7391431893,PC,http://www.vgchartz.com/game/222152/assassins-creed-odyssey/?region=All
534.0,Tom Clancy's Ghost Recon Wildlands,Shooter,M,Ubisoft,Ubisoft Paris,,7.0,,1.07,1.35,0.22,0.47,2017.0,01st Apr 18,1.0,,/games/boxart/full_6335056AmericaFrontccc.jpg,8902999804,PS4,http://www.vgchartz.com/game/85753/tom-clancys-ghost-recon-wildlands/?region=All
